client_code,product,push_notification,top4_products,push_quality_score,total_transactions,avg_balance,total_spending,currency_operations,online_services,outflows_vs_inflows
CLIENT_001,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,105,87254.57113284868,407335.1145564969,4,1,1.0422411928386883
CLIENT_002,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,125,1863069.876847336,2091373.949401156,3,1,0.43754462722666354
CLIENT_003,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Кредитная карта|Карта для путешествий|Депозит накопительный,1,83,223488.2289894279,307382.1510526436,2,4,1.079525069305294
CLIENT_004,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,2,101,251240.98891001404,366069.0324485464,6,3,1.0992400106379574
CLIENT_005,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,123,95920.1439732212,545952.731746715,3,3,1.6128561665271126
CLIENT_006,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Кредитная карта,1,103,2287094.6222022707,274010.35631729674,3,3,0.07403211873537408
CLIENT_007,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредит наличными|Обмен валют,2,99,520.0650925295743,1324893.9485368924,4,3,2.5222919396361583
CLIENT_008,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Депозит накопительный,2,94,215009.63790863453,369644.58302176313,3,2,0.8439871379649471
CLIENT_009,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Инвестиции|Карта для путешествий|Депозит накопительный,1,95,1309266.7154343608,1486391.3565113146,2,2,0.42254680505346837
CLIENT_010,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,103,58137.11490143928,326699.8394161374,4,4,0.7916614914189962
CLIENT_011,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Обмен валют|Премиальная карта|Кредитная карта,2,104,121046.06904619804,435476.47651141585,6,1,1.0833364187219845
CLIENT_012,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,82,146053.50732179757,295220.9542567447,5,4,0.9501851639941409
CLIENT_013,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Инвестиции,1,105,2294595.800313685,280336.36041335086,5,4,0.06698878052787839
CLIENT_014,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,82,6831.030024615776,918461.0347085274,4,2,1.1682150448800432
CLIENT_015,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,104,164583.0830421274,416597.5165260638,5,2,0.958706579494917
CLIENT_016,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Инвестиции|Карта для путешествий|Кредитная карта,1,105,1654437.4136711396,1785362.3480640615,3,3,0.47285871440069116
CLIENT_017,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредит наличными|Кредитная карта,1,115,46943.1536933689,511724.9550338445,2,4,1.7054973286653752
CLIENT_018,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,106,75974.60948535024,382678.0740716606,5,3,0.8300080606711794
CLIENT_019,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,92,58547.750777544425,408551.214040831,6,3,1.4023183403885717
CLIENT_020,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Инвестиции|Обмен валют,2,107,2136946.4966278016,269548.272737055,6,4,0.0678066231627859
CLIENT_021,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,97,10440.648107556057,1159005.807218822,4,2,1.0951178821702074
CLIENT_022,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Обмен валют,2,109,209722.91681372677,392335.4348025652,3,4,1.0324930547275684
CLIENT_023,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Депозит накопительный,1,99,1569990.1194832437,1732520.8111261723,3,2,0.5647389518963342
CLIENT_024,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,95,143784.7029174056,366633.9015159453,2,4,0.877842518306187
CLIENT_025,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,105,68281.20742818188,356118.52901169925,6,4,0.8961895304919962
CLIENT_026,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,106,174332.05094175856,355036.14720544295,5,3,0.9135053803345273
CLIENT_027,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Инвестиции,2,88,2335671.6382349436,229253.32438113794,5,3,0.06867577467666112
CLIENT_028,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредит наличными,1,105,0.0,1382982.7430344038,4,4,1.929198879238796
CLIENT_029,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,126,115335.90589308486,390549.55364165886,3,3,0.7678394748048841
CLIENT_030,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,101,1867667.7846901088,1561124.47889571,4,3,0.3599800522555141
CLIENT_031,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,117,275115.19475059386,460091.08262287185,1,4,0.9028936070456236
CLIENT_032,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,123,226814.03636712112,512669.0318624049,6,2,1.1212666198625452
CLIENT_033,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Обмен валют,1,102,181430.5693615923,368849.6419779084,3,3,0.9034688478128426
CLIENT_034,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,110,2664344.368397365,266170.7145110864,5,4,0.05433384839293042
CLIENT_035,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредит наличными|Кредитная карта,2,110,8642.74221868542,1394701.2320750535,4,3,1.6890196341117594
CLIENT_036,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,99,333668.01209494355,276715.1292617881,3,4,0.6916262623401622
CLIENT_037,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Депозит накопительный,1,92,2119726.618175312,1320513.473355363,2,1,0.35010455407356217
CLIENT_038,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,105,72156.54790661152,475945.46556055336,6,4,1.4324300683290763
CLIENT_039,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Обмен валют|Премиальная карта|Кредит наличными,2,85,120640.44834462139,353681.7721019591,6,1,1.7512535920964756
CLIENT_040,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,104,90441.90130744314,368177.4630063313,5,3,1.2251644240379624
CLIENT_041,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Инвестиции,2,99,2773713.193260405,253843.97871169666,6,3,0.06636691971679358
CLIENT_042,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,99,874.692874741303,1188602.599341875,5,2,1.181107063522301
CLIENT_043,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Обмен валют,2,108,167975.3903443531,485874.77098441724,3,2,1.0433198008931115
CLIENT_044,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Инвестиции,1,116,689122.6123094793,2291478.4316654825,4,4,0.7764170830389743
CLIENT_045,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Обмен валют,1,116,3002.9412628938862,546139.8239373574,3,4,1.464055517677327
CLIENT_046,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,114,288477.2185868863,429505.41627677367,6,3,0.9332286300996179
CLIENT_047,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,88,77123.4121917236,374699.7746114109,4,1,1.3242603539983162
CLIENT_048,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Инвестиции|Карта для путешествий|Депозит накопительный,1,98,2526400.483252573,190711.15328514442,2,3,0.04299681896723575
CLIENT_049,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,95,24643.722475684946,1033604.5814260471,4,2,1.0385488467971031
CLIENT_050,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,104,154161.7420294777,469929.50348247343,5,2,1.023449532396665
CLIENT_051,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,96,1933213.3909870298,1545861.8262415123,3,2,0.3952080644162178
CLIENT_052,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Кредитная карта|Депозит накопительный,1,108,267324.2483517488,397822.1861995614,3,4,0.713022285594316
CLIENT_053,Обмен валют,💱 Выгодный обмен валют без комиссии. Лучший курс в городе! Обменивайте валюту выгодно и безопасно.,Премиальная карта|Обмен валют|Карта для путешествий|Кредитная карта,1,107,66219.68991835382,467228.6557151267,6,1,1.1612817174284689
CLIENT_054,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Обмен валют|Кредитная карта,1,107,314875.57749344985,326113.1524541694,5,4,0.6467403294752468
CLIENT_055,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Карта для путешествий|Инвестиции|Обмен валют,1,103,2414624.792147291,245484.31204555026,4,1,0.06234471555873221
CLIENT_056,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Обмен валют|Кредитная карта,2,97,31172.45369230975,1160913.0572078573,5,3,1.1373492662671447
CLIENT_057,Карта для путешествий,🌍 Карта для путешествий с кэшбэком до 5% на отели и такси. Кэшбэк 5% на покупки в валюте! Оформите сейчас и экономьте на каждой поездке.,Карта для путешествий|Премиальная карта|Кредитная карта|Депозит накопительный,2,104,246121.8453585635,462524.6059749379,2,3,1.109157045681751
CLIENT_058,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Инвестиции|Карта для путешествий|Обмен валют,1,94,1661205.6287534602,1606800.0821151945,3,4,0.4192721830018107
CLIENT_059,Премиальная карта,💎 Премиальная карта с эксклюзивными привилегиями. Доступ к VIP-залам и персональному менеджеру! Повысьте статус уже сегодня.,Премиальная карта|Кредитная карта|Карта для путешествий|Депозит накопительный,1,109,186611.90185074598,365697.9571723981,2,4,0.7730410217183287
CLIENT_060,Обмен валют,💱 Выгодный обмен валют без комиссии. Лучший курс в городе! Обменивайте валюту выгодно и безопасно.,Обмен валют|Карта для путешествий|Премиальная карта|Кредитная карта,1,86,79807.23219107052,399996.9868665159,6,1,1.1933227321558588
